104000103,,1,5,6,15,28
104000104,,4,5,11,13,18
104000105,,18,21,23,35,37
104000106,,6,11,21,25,28
104000107,,12,17,28,30,33
104000108,,3,15,17,23,27
104000109,,13,17,21,23,31
104000110,,1,14,16,33,35
104000111,,3,10,24,26,38
104000112,,9,12,17,18,24
104000113,,20,26,27,38,39
104000114,,7,9,20,23,33
104000115,,16,17,31,36,37
104000116,,6,16,23,28,32
104000117,,3,4,27,31,34
104000118,,4,16,25,26,35
104000119,,1,2,14,16,23
104000120,,5,6,7,12,27
104000121,,2,5,22,24,26
104000122,,16,17,18,27,30
104000123,,3,23,24,27,33
104000124,,11,12,23,28,30
104000125,,9,21,22,35,37
104000126,,4,6,11,36,37
104000127,,9,16,18,26,34
104000128,,8,10,27,35,36
104000129,,4,17,19,24,37
104000130,,2,10,20,28,39
104000131,,2,5,23,32,37
104000132,,13,18,22,29,32
104000133,,7,10,18,19,20
104000134,,5,17,24,29,37
104000135,,2,6,22,26,39
104000136,,5,23,28,31,32
104000137,,21,26,35,38,39
104000138,,5,29,30,32,34
104000139,,1,17,20,26,27
104000140,,10,16,28,30,31
104000141,,3,4,10,14,18
104000142,,4,27,35,37,39
104000143,,1,21,30,38,39
104000144,,8,13,14,16,30
104000145,,1,14,23,30,31
104000146,,11,12,23,24,26
104000147,,3,13,23,32,33
104000148,,6,12,14,29,30
104000149,,10,14,20,26,27
104000150,,8,14,24,29,39
104000151,,6,8,19,26,29
104000152,,1,4,10,33,39
104000153,,9,12,20,30,39
104000154,,17,22,25,31,35
104000155,,7,10,16,26,34
104000156,,2,3,11,28,38
104000157,,5,11,18,19,30
104000158,,9,14,17,25,33
104000159,,18,23,29,33,36
104000160,,3,14,24,33,39
104000161,,5,23,25,28,36
104000162,,10,12,13,34,38
104000163,,5,23,27,29,32
104000164,,1,2,14,15,25
104000165,,3,6,11,16,23
104000166,,1,14,16,24,29
104000167,,8,15,32,33,37
104000168,,20,26,28,34,39
104000169,,9,21,26,37,39
104000170,,3,8,15,23,26
104000171,,16,21,27,36,38
104000172,,10,31,35,37,38
104000173,,3,11,15,18,39
104000174,,4,14,19,20,37
104000175,,19,29,30,31,39
104000176,,5,19,27,28,31
104000177,,2,9,14,17,26
104000178,,3,5,9,13,30
104000179,,11,12,14,29,32
104000180,,8,21,32,33,35
104000181,,10,18,25,28,29
104000182,,14,16,32,36,38
104000183,,9,10,22,27,32
104000184,,1,15,20,21,24
104000185,,5,10,17,29,37
104000186,,5,10,27,30,31
104000187,,1,9,18,27,39
104000188,,2,4,23,25,36
104000189,,6,10,11,20,39
104000190,,5,24,26,27,30
104000191,,5,7,9,13,35
104000192,,9,11,23,26,32
104000193,,8,12,13,31,38
104000194,,4,6,16,17,33
